subdomain,ip,source
daeb567-openvpn.prebuilt-app.bizflycloud.vn,123.30.234.219,rapiddns
9ccf0ae-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.86,rapiddns
6a0bb0b-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.139,alienvault
78ddf8e-openvpn.prebuilt-app.bizflycloud.vn,103.107.182.69,crtsh
60067aa-jitsi.prebuilt-app.bizflycloud.vn,103.56.158.27,hackertarget
21bfb38-cwp.prebuilt-app.bizflycloud.vn,103.56.156.39,alienvault
21a500e-bigbluebutton.prebuilt-app.bizflycloud.vn,103.56.156.197,crtsh
ef56846-nextcloud.prebuilt-app.bizflycloud.vn,103.56.157.20,crtsh
317a44b-openvpn.prebuilt-app.bizflycloud.vn,103.148.57.101,hackertarget
606fc9ddbca19f84d5fc79db.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
83fc880-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.169,hackertarget
3179770-redmine.prebuilt-app.bizflycloud.vn,103.56.156.18,rapiddns
id123123456.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
c394322-owncloud.prebuilt-app.bizflycloud.vn,103.56.158.244,crtsh
60b73c68fb88fdd859cb3768.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
6b257c9-nextcloud.prebuilt-app.bizflycloud.vn,103.153.73.42,rapiddns
cc942ed-cwp.prebuilt-app.bizflycloud.vn,103.107.183.48,rapiddns
c81981b-openvpn.prebuilt-app.bizflycloud.vn,103.56.158.122,alienvault
keobong.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
496405e-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.223,hackertarget
47875a3-openvpn.prebuilt-app.bizflycloud.vn,103.56.156.155,hackertarget
79f15ff-cwp.prebuilt-app.bizflycloud.vn,103.153.74.9,alienvault
4cada8f-nextcloud.prebuilt-app.bizflycloud.vn,103.153.73.248,hackertarget
7737e16-cwp.prebuilt-app.bizflycloud.vn,103.153.74.224,alienvault
687c4e5-magento.prebuilt-app.bizflycloud.vn,103.107.183.177,alienvault
6098c0e823d7b3f599221862.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
registry.dbaas.bizflycloud.vn,10.100.0.26,crtsh
bizfly-smtp-relay-23.bizflycloud.vn,103.153.71.17,hackertarget
4e7aab9-cwp.prebuilt-app.bizflycloud.vn,103.148.57.197,crtsh
4fb7d71-cwp.prebuilt-app.bizflycloud.vn,103.109.43.241,hackertarget
74314c2-cwp.prebuilt-app.bizflycloud.vn,103.56.157.159,alienvault
b7e920f-nextcloud.prebuilt-app.bizflycloud.vn,45.124.94.12,rapiddns
30c2850-moodle.prebuilt-app.bizflycloud.vn,45.124.95.35,hackertarget
f604dad-joomla.prebuilt-app.bizflycloud.vn,45.124.95.50,rapiddns
